<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THH.US,D,20250828,000000,7.25,12,5.25,6.02,2611482,0
THH.US,D,20250829,000000,5.5,6,5.08,5.43,249225,0
THH.US,D,20250902,000000,5.21,5.2799,4.5,4.66,165422,0
THH.US,D,20250903,000000,4.35,4.9499,4.24,4.8,522309,0
THH.US,D,20250904,000000,4.82,5.134,4.49,4.55,143170,0
THH.US,D,20250905,000000,4.28,4.95,4.2,4.95,166822,0
THH.US,D,20250908,000000,4.9508,5.01,4.7201,4.99,75837,0
THH.US,D,20250909,000000,4.98,5.8525,4.77,5.7,57055,0
THH.US,D,20250910,000000,5.53,5.89,5.53,5.7,86806,0
THH.US,D,20250911,000000,5.35,6.5,5.21,6.1,42116,0
THH.US,D,20250912,000000,5.84,6.85,5.77,6.63,55506,0
THH.US,D,20250915,000000,6.55,7.18,6.46,7.05,43466,0
THH.US,D,20250916,000000,7.2,7.368,6.8,7.18,24030,0
THH.US,D,20250917,000000,6.99,8.29,6.9,8.27,40961,0
THH.US,D,20250918,000000,8.23,8.42,6.5,6.53,82098,0
THH.US,D,20250919,000000,7.16,7.35,6.83,6.87,107438,0
THH.US,D,20250922,000000,7.18,7.97,7.18,7.69,94676,0
THH.US,D,20250923,000000,7.42,8.02,6.6801,7.01,336653,0
THH.US,D,20250924,000000,7.22,7.94,7.12,7.84,51662,0
THH.US,D,20250925,000000,7.89,8.18,7.62,8.01,47875,0
THH.US,D,20250926,000000,8.12,8.12,7.12,7.28,50615,0
THH.US,D,20250929,000000,8.0864,8.0864,6.94,7.06,30958,0
THH.US,D,20250930,000000,7.4,7.765,6.87,7.15,97608,0
THH.US,D,20251001,000000,7.11,7.27,5.59,6.01,136586,0
THH.US,D,20251002,000000,6.5,6.5,6,6.04,37600,0
THH.US,D,20251003,000000,6.03,6.59,6.03,6.25,18474,0
THH.US,D,20251006,000000,6.31,6.5852,6.3,6.35,14412,0
THH.US,D,20251007,000000,6.18,7.95,6.18,7.42,1893737,0
THH.US,D,20251008,000000,7.53,8.18,7.45,7.82,1535550,0
THH.US,D,20251009,000000,7.71,7.84,6.66,7.2,712091,0
THH.US,D,20251010,000000,7.7,8.4,7,7.51,1096997,0
THH.US,D,20251013,000000,7.8,9.4,7.61,7.86,1683263,0
THH.US,D,20251014,000000,7.85,8.25,7.41,7.89,852148,0
THH.US,D,20251015,000000,7.89,8.88,7.7705,8.17,1938520,0
THH.US,D,20251016,000000,7.89,8.2994,7.6,7.71,1702243,0
THH.US,D,20251017,000000,8.01,8.38,7.5,7.71,2201831,0
THH.US,D,20251020,000000,7.75,8.33,7.75,8.22,553102,0
THH.US,D,20251021,000000,8.01,9.12,7.96,8.42,1274674,0
THH.US,D,20251022,000000,8.12,8.4942,7.5,7.7,675625,0
THH.US,D,20251023,000000,7.56,8.4,7.56,8.31,121767,0
THH.US,D,20251024,000000,8.25,8.25,7.83,7.9,45045,0
THH.US,D,20251027,000000,7.9,8.9,7.9,8.9,141503,0
THH.US,D,20251028,000000,8.9,9.9,8.8,9.22,79409,0
THH.US,D,20251029,000000,9.17,9.3925,8.06,8.82,65209,0
THH.US,D,20251030,000000,8.81,9.345,8.15,9.06,85512,0
THH.US,D,20251031,000000,9.24,9.24,8.48,8.66,32090,0
THH.US,D,20251103,000000,8.51,9.1,8.15,8.31,156627,0
THH.US,D,20251104,000000,8.16,8.75,8.01,8.62,63832,0
THH.US,D,20251105,000000,8.463,9.08,8.463,8.8,31151,0
